j,vp13,vp15,vp10,time
0,0.0869626,0.0869626,0.0589654,0.100647
4,0.122966,0.123973,0.0779995,0.201752
8,0.169998,0.169998,0.107961,0.302856
12,0.217986,0.216979,0.138979,0.403931
16,0.265974,0.267988,0.170954,0.505066
20,0.310991,0.309984,0.201973,0.606201
24,0.360993,0.350973,0.234955,0.707306
28,0.40596,0.404953,0.266981,0.808411
32,0.455962,0.454955,0.297999,0.909485
36,0.501987,0.501987,0.328968,1.01062
40,0.549974,0.549974,0.362957,1.11075
44,0.597963,0.596956,0.393975,1.21185
48,0.644994,0.644994,0.424994,1.31296
52,0.692982,0.692982,0.456969,1.41403
56,0.742984,0.74097,0.487988,1.51517
60,0.788958,0.790972,0.519963,1.61627
64,0.835989,0.831961,0.552996,1.71738
68,0.880956,0.88297,0.582957,1.81851
72,0.929951,0.930959,0.612968,1.91962
76,0.979954,0.979954,0.643987,2.02072
80,1.029,1.03197,0.678983,2.1218
84,1.07397,1.07598,0.708995,2.2229
88,1.12498,1.12598,0.739963,2.32401
92,1.17196,1.17196,0.773952,2.42511
96,1.22196,1.22196,0.804971,2.52621
100,1.26899,1.26698,0.836997,2.62732
104,1.31496,1.31799,0.869979,2.72839
108,1.36396,1.36698,0.900997,2.82852
112,1.41598,1.41598,0.932973,2.9296
116,1.46099,1.46195,0.963991,3.0307
120,1.50999,1.51296,0.995966,3.13181
124,1.55898,1.55999,1.03696,3.23288
128,1.60798,1.60798,1.06198,3.33395
132,1.67198,1.67299,1.10498,3.43512
136,1.72198,1.724,1.13897,3.53622
140,1.76498,1.77098,1.17095,3.63733
144,1.80199,1.81997,1.20297,3.73843
148,1.83095,1.866,1.23299,3.83951
152,1.85099,1.91197,1.26395,3.94061
156,1.866,1.95699,1.29699,4.04172
160,1.87899,2.00497,1.32599,4.14282
164,1.88795,2.05196,1.35696,4.2439
168,1.89696,2.09697,1.39095,4.345
172,1.90396,2.14395,1.42297,4.44611
176,1.91096,2.19199,1.45495,4.54721
180,1.91695,2.23897,1.48395,4.64832
184,1.92098,2.28696,1.51497,4.74942
188,1.92597,2.33495,1.54599,4.85049
192,1.93,2.38299,1.57897,4.9516
196,1.93397,2.42896,1.60898,5.0527
200,1.93795,2.47896,1.64096,5.15381
204,1.94097,2.52796,1.67097,5.25488
208,1.94495,2.57897,1.70395,5.35599
212,1.94898,2.62796,1.73497,5.45709
216,1.94999,2.68099,1.76498,5.5582
220,1.95397,2.73099,1.79696,5.6593
224,1.95598,2.73099,1.82697,5.7608
228,1.95996,2.73099,1.85995,5.86191
232,1.96096,2.73099,1.88896,5.96301
236,1.96298,2.73099,1.91796,6.06412
240,1.96595,2.73099,1.94596,6.16522
244,1.96595,2.73099,1.97199,6.26633
248,1.96796,2.73099,1.98796,6.3674
252,1.96796,2.73099,1.994,6.46854